現地コード,銘柄名(English),銘柄名,市場,業種,取扱
HEWJ,iShares Currency Hedged MSCI Japan ETF,iシェアーズ 米ドルヘッジ MSCI ジャパン ETF,NYSE Arca,その他,○
HEZU,iShares Currency Hedged MSCI Eurozone ETF ,iシェアーズ 米ドルヘッジ MSCI ユーロゾーン ETF,NYSE Arca,その他,○
HFC,HOLLYFRONTIER CORP,ホーリーフロンティアー,NYSE,石油・ガス・パイプライン,○
HGV,Hilton Grand Vacations Inc,ヒルトン・グランド・バケーションズ,NYSE,ホテル・モーテル,○
HI,"HILLENBRAND,INC.",ヒレンブランド,NYSE,サービス,○
HIBB,HIBBETT SPORTS INC,ヒベット・スポーツ,NASDAQ,小売,○
HIG,HARTFORD FINL SV,ハートフォード・フィナンシャル・サービシズ,NYSE,金融（保険）,○
HII,HUNTINGTON INGALLS INDUSTRIE,ハンティントン・インガルス・インダストリーズ,NYSE,その他製造,○
HL,HECLA MINING COMPANY,ヘクラ・マイニング,NYSE,鉄鋼・鉱業,○
HLIT,HARMONIC INC.,ハーモニック,NASDAQ,通信関連,○
HLT,HILTON WORLDWIDE HOLDINGS INC,ヒルトン・ワールドワイド・ホールディングス,NYSE,ホテル・モーテル,○
HMSY,HMS HOLDINGS CORP,ＨＭＳホールディングス,NASDAQ,情報処理サービス,○
HMY,HARMONY GOLD MINING COMPANY LIMITED,ハーモニー・ゴールド・マイニング,NYSE,鉄鋼・鉱業,○
HOG,"HARLEY-DAVIDSON, INC.",ハーレーダビッドソン,NYSE,その他製造,○
HOLX,"HOLOGIC, INC.",ホロジック,NASDAQ,医療機器,○
HON,HONEYWELL INTERNATIONAL INC.,ハネウェル　インターナショナル,NYSE,航空機・宇宙,○
HOS,HORNBECK OFFSHORE SERVICES,ホーンベック・オフショア・サービシーズ,NYSE,運輸,○
HP,"HELMERICH & PAYNE, INC.",ヘルメリッチ・アンド・ペイン,NYSE,石油・ガス・パイプライン,○
HPE,HEWLETT PACKARD ENTERPRISE,ヒューレット・パッカード・エンタープライズ,NYSE,情報処理サービス,○
HPQ,HP INC,HPインク,NYSE,コンピュータ関連,○
HRB,"H&R BLOCK, INC.",Ｈ＆Ｒブロック,NYSE,金融（その他）,○
HRC,HILL-ROM HOLDINGS,ヒルロム,NYSE,トイレタリー・ヘルスケア,○
HRL,HORMEL FOODS CORP,ホーメル・フーズ,NYSE,食品・飲料,○
HRS,HARRIS CORPORATION,ハリス・コーポレーション,NYSE,通信関連,○
HSBC,HSBC HOLDINGS PLC,ＨＳＢＣホールディングス,NYSE,金融（銀行）,○
HSIC,HENRY SCHEIN INC,ヘンリー・シャイン,NASDAQ,トイレタリー・ヘルスケア,○
HSY,HERSHEY CO/THE,ハーシー,NYSE,食品・飲料,○
HTGM,HTG MOLECULAR DIAGNOSTICS,HTGﾓﾚｷｭﾗｰ･ﾀﾞｲｱｸﾞﾉｽﾃｨｸｽ,NASDAQ,医薬品（バイオテクノロジー）,○
HUM,HUMANA INC.,ヒューマナ,NYSE,医療・医療サービス,○
HXL,HEXCEL CORP,ヘクセル,NYSE,航空機・宇宙,○
HYEM,VanEck Vectors Emerging Markets High Yield Bond ETF,ヴァンエック・ベクトル新興国ハイ・イールド債ETF,NYSE Arca,その他,○
HYG,iShares IBOXX $ HIGH YIELD CORPORATE BOND,iシェアーズ iBoxx 米ドル建てハイイールド社債 ETF,NYSE Arca,その他,○
HYH,HALYARD HEALTH INC,ハリヤード・ヘルス,NYSE,医療機器,○
HYND,WisdomTree Negative Duration High Yield Bond Fund,ウィズダムツリー 米国ハイイールド社債ファンド（金利ベア型）,NASDAQ,その他,○
HYZD,WISDOMTREE INTEREST RATE HEDGED HIGH YIELD BOND FUND,ウィズダムツリー 米国ハイイールド社債ファンド（金利ヘッジ型）,NASDAQ,その他,○
I,"INTELSAT, LTD.",インテルサット,NYSE,通信関連,○
IAC,IAC/INTERACTIVECORP,ＩＡＣ／インタラクティブコープ,NASDAQ,インターネットサービス,○
IAG,IAMGOLD CORP,イアムゴールド,NYSE,鉄鋼・鉱業,○
IAU,iShares GOLD TRUST,iシェアーズ ゴールド・トラスト,NYSE Arca,その他,○
IBB,iShares NASDAQ BIOTECHNOLOGY INDEX,iシェアーズ NASDAQ バイオテクノロジー ETF,NASDAQ,その他,○
IBKR,"INTERACTIVE BROKERS GROUP, INC.",インタラクティブ・ブローカーズ・グループ,NASDAQ,金融（証券）,○
IBM,INTERNATIONAL BUSINESS MACHINES CORPORATION,ＩＢＭ,NYSE,コンピュータ関連,○
IBN,ICICI BANK LIMITED,ＩＣＩＣＩバンク,NYSE,金融（銀行）,○
IBOC,INTERNATIONAL BANCSHARES CRP,インターナショナル・バンクシェアーズ,NASDAQ,金融（銀行）,○
ICE,INTERCONTINENTALEXCHANGE INC,インターコンチネンタル・エクスチェンジ,NYSE,サービス,○
ICHR,ICHOR HOLDINGS,コル・ホールディングス,NASDAQ,半導体関連,○
ICLN,iShares S&P GLOBAL CLEAN ENERGY INDEX FUND ,iシェアーズ グローバル・クリーンエネルギー ETF,NASDAQ,その他,○
IDA,IDACORP INC,アイダコープ,NYSE,電機・電力・エネルギー,○
IDCC,INTERDIGITAL INC,インターデジタル,NASDAQ,通信関連,○
IDHQ,Invesco S&P International Developed Quality ETF,インベスコ　S&P 世界先進国クオリティ・ポートフォリオ,NYSE Arca,その他,○
IDTI,"INTEGRATED DEVICE TECHNOLOGY, INC.",インテグレーテッド・デバイス・テクノロジー (IDT),NASDAQ,半導体関連,○
IDX,VanEck Vectors Indonesia Index ETF,ヴァンエック・ベクトル・インドネシア・インデックスETF,NYSE Arca,その他,○
IDXX,"IDEXX LABORATORIES, INC.",アイデックス　ラボラトリーズ,NASDAQ,トイレタリー・ヘルスケア,○
IEF,iShares 7‐10 Year Treasury Bond ETF,iシェアーズ 米国国債 7-10年 ETF,NASDAQ,その他,○
IEMG,iShares Core MSCI Emerging Markets ETF,iシェアーズ コア　MSCI エマージング・マーケット ETF,NYSE Arca,その他,○
IEV,iShares Europe ETF,iシェアーズ ヨーロッパ ETF,NYSE Arca,その他,○
IFF,"INTERNATIONAL FLAVORS & FRAGRANCES, INC.",インターナショナル・フレーバー・アンド・フレグランス,NYSE,化学,○
IFGL,ISHARES FTSE EPRA/NAREIT DEVELOPED REAL ESTATE EX-U.S. INDEX FUND ,iシェアーズ 先進国（除く米国） REIT ETF,NASDAQ,その他,○
IGF,iShares Global Infrastructure ETF,iシェアーズ グローバル・インフラ ETF,NASDAQ,その他,○
IGOV,iShares International Treasury Bond ETF,iシェアーズ 世界国債（除く米国）ETF,NASDAQ,その他,○
IGT,INTERNATIONAL GAME TECHNOLOGY PLC,インターナショナル・ゲーム・テクノロジー,NYSE,エンターテイメント・メディア,○
IHG,INTERCONTINENTAL HOTELS-ADR,インターコンチネンタルホテルズグループ,NYSE,ホテル・モーテル,○
IHY,VanEck Vectors International High Yield Bond ETF,ヴァンエック・ベクトル国際ハイ・イールド債ETF,NYSE Arca,その他,○
IIJI,INTERNET INITIATIVE JAPAN INC.,インターネットイニシアティブ (IIJ),NASDAQ,通信関連,○
IIVI,II-VI INCORPORATED,ツー・シックス,NASDAQ,その他製造,○
IJH,iShares S&P MIDCAP 400,iシェアーズ S&P 中型株 ETF,NYSE Arca,その他,○
IJR,iShares S&P SMALLCAP 600,iシェアーズ S&P 小型株 ETF,NYSE Arca,その他,○
ILF,iShares S&P LATIN AMERICA 40,iシェアーズ ラテンアメリカ 40 ETF,NYSE Arca,その他,○
ILG,ILG INC,ILG,NASDAQ,サービス,○
ILMN,"ILLUMINA, INC.",イルミナ,NASDAQ,医薬品（バイオテクノロジー）,○
IMGN,"IMMUNOGEN, INC.",イミュノジェン,NASDAQ,医薬品,○
IMPV,IMPERVA INC,インパーバ,NASDAQ,ソフトウェア・ソフトウェアサービス,○
INCY,INCYTE CORPORATION,インサイト,NASDAQ,ソフトウェア・ソフトウェアサービス,○
INDL,DIREXION DAILY INDIA BULL 3X SHARES,Direxion デイリー インド株 ブル3倍 ETF,NYSE Arca,その他,○
INFY,INFOSYS TECHNOLOGIES LIMITED,インフォシス・テクノロジーズ,NYSE,ソフトウェア・ソフトウェアサービス,○
ING,ING GROEP N.V.,ＩＮＧグループ,NYSE,金融（保険）,○
INGR,INGREDION INCORPORATED,イングレディオン,NYSE,その他製造,○
INKM,SPDR SSgA Income Allocation ETF,SPDR　SSgA インカム・アロケーション ETF,NYSE Arca,その他,○
INT,WORLD FUEL SERVICES CORP,ワールド・ヒュエル・サービシーズ,NYSE,電機・電力・エネルギー,○
INTC,INTEL CORPORATION,インテル,NASDAQ,半導体関連,○
INTU,INTUIT INC.,インテュイット,NASDAQ,ソフトウェア・ソフトウェアサービス,○
INXN,INTERXION HOLDING NV,インターシオン・ホールディング,NYSE,サービス,○
IOO,iShares S&P GLOBAL 100,iシェアーズ グローバル 100 ETF,NYSE Arca,その他,○
IP,INTERNATIONAL PAPER COMPANY,インターナショナル・ペーパー,NYSE,紙・パルプ,○
IPG,"THE INTERPUBLIC GROUP OF COMPANIES, INC.",インターパブリック・グループ・オブ・カンパニーズ,NYSE,サービス,○
IPGP,IPG PHOTONICS CORPORATION,アイ・ピー・ジーフォトニクス,NASDAQ,電機・電力・エネルギー,○
IQ,"IQIYI, INC.",アイチーイー,NASDAQ,エンターテイメント・メディア,○
IQV,IQIVA HOLDINGS INC,IQIVA・ホールディングス,NYSE,医療・医療サービス,○
IR,INGERSOLL-RAND PLC,インガソール・ランド,NYSE,その他製造,○
IRBT,IROBOT CORPORATION,アイロボット,NASDAQ,その他製造,○
ISRG,INTUITIVE SURGIC,インテューイティブ・サージカル,NASDAQ,医療・医療サービス,○
IT,GARTNER INC,ガートナー,NYSE,情報処理サービス,○
ITE,SPDR Bloomberg Barclays Intermediate Term Treasury ETF,SPDR ブルームバーグ・バークレイズ 米国中期国債 ETF,NYSE Arca,その他,○
ITUB,ITAU UNIBANC-ADR,イタウ・ウニバンコ・ホールディング,NYSE,金融（銀行）,○
ITW,ILLINOIS TOOL WO,ＩＴＷ（イリノイ・ツール・ワークス）,NYSE,39,○
IVOG,VANGUARD S&P MID-CAP 400 GROWTH ETF,バンガード・S&Pミッドキャップ400グロースETF,NYSE Arca,その他,○
IVOO,VANGUARD S&P MID-CAP 400 ETF,バンガード・S&Pミッドキャップ400 ETF,NYSE Arca,その他,○
IVOV,VANGUARD S&P MID-CAP 400 VALUE ETF,バンガード・S&Pミッドキャップ400バリューETF,NYSE Arca,その他,○
IVV,iShares Core S&P 500 ETF,iシェアーズ・コア S&P 500 ETF,NYSE Arca,その他,○
IVZ,INVESCO LTD.,インベスコ,NYSE,金融（証券）,○
IWM,iShares RUSSELL 2000 INDEX,iシェアーズ ラッセル 2000 ETF,NYSE Arca,その他,○
IXC, iShares Global Energy ETF,iシェアーズ グローバル・エネルギー ETF,NYSE Arca,その他,○
IXG,iShares Global Financials ETF,iシェアーズ グローバル金融 ETF,NYSE Arca,その他,○
IXJ, iShares Global Healthcare ETF,iシェアーズ グローバル・ヘルスケア ETF,NYSE Arca,その他,○
IXN, iShares Global Tech ETF,iシェアーズ グローバル・テクノロジー ETF,NYSE Arca,その他,○
IXP,iShares Global Telecom ETF,iシェアーズ グローバル電気通信 ETF,NYSE Arca,その他,○
IYR,iShares U.S. Real Estate ETF,iシェアーズ 米国不動産 ETF,NYSE Arca,その他,○
JACK,JACK IN THE BOX INC,ジャック・イン・ザ・ボックス,NASDAQ,外食・レストラン,○
JAZZ,JAZZ PHARMACEUTICALS PLC,ジャズ・ファーマシューティカルズ,NASDAQ,医薬品（バイオテクノロジー）,○
JBHT,HUNT (JB) TRANSPRT SVCS INC,ＪＢハント・トランスポート・サービシズ,NASDAQ,運輸,○
JBSS,"JOHN B. SANFILIPPO & SON, INC",ジョンＢサンフィリッポ・アンド・サン,NASDAQ,食品・飲料,○
JCI,JOHNSON CONTROLS,ジョンソンコントロールズ,NYSE,複合企業,○
JCP,"J. C. PENNEY COMPANY, INC.",ＪＣペニー,NYSE,小売,○
JD,"JD.COM, INC.",JD.COM（京東商城）,NASDAQ,小売,○
JEC,JACOBS ENGINEERING GROUP INC,ジェイコブズ・エンジニアリング,NYSE,複合企業,○
JEF,JEFFERIES FINANCIAL GROUP INC.,ジェフリーズ・ファイナンシャル・グループ,NYSE,複合企業,○
JEF,JEFFERIES FINANCIAL GROUP INC.,ジェフリーズ・ファイナンシャル・グループ,NYSE,複合企業,○
JELD,"JELD-WEN HOLDING, INC.",ジェルド・ウェン・ホールディング,NYSE,その他製造,○
JILL,"J.JILL, INC.",ジェイ・ジル,NYSE,小売,○
JJAB,iPath Series B Bloomberg Agriculture Subindex Total Return ETN,iPath シリーズB ブルームバーグ農産物サブ指数トータルリターンETN,NYSE Arca,その他,○
JJCB,iPath Series B Bloomberg Copper Subindex Total Return ETN,iPath シリーズB ブルームバーグ銅サブ指数トータルリターンETN,NYSE Arca,その他,○
JJGB,iPath Series B Bloomberg Grains Subindex Total Return ETN,iPath シリーズB ブルームバーグ穀物サブ指数トータルリターンETN,NYSE Arca,その他,○
JJMB,iPath Series B Bloomberg Industrial Metals Subindex Total Return ETN,iPath  シリーズB ブルームバーグ産業用金属サブ指数トータルリターンETN,NYSE Arca,その他,○
JKHY,JACK HENRY & ASSOCIATES INC,ジャック・ヘンリー・アンド・アソシエーツ,NASDAQ,コンピュータ関連,○
JMU,WOWO LTD,WOWO（55.com）,NASDAQ,インターネットサービス,○
JNJ,JOHNSON & JOHNSON,ジョンソン・エンド・ジョンソン,NYSE,トイレタリー・ヘルスケア,○
JNK,SPDR Bloomberg Barclays High Yield Bond ETF,SPDR ブルームバーグ・バークレイズ・ハイ・イールド債券 ETF,NYSE Arca,その他,○
JNPR,"JUNIPER NETWORKS, INC.",ジュニパーネットワークス,NYSE,ネットワーク・ネットワークセキュリティ,○
JOBS,"51JOB, INC.",５１ジョブ,NASDAQ,サービス,○
JPM,JPMORGAN CHASE & CO.,ＪＰモルガン・チェース,NYSE,金融（銀行）,○
JWN,"NORDSTROM, INC.",ノードストローム,NYSE,小売,○
JXI,iShares Global Utilities ETF,iシェアーズ グローバル公益事業 ETF,NYSE Arca,その他,○
K,KELLOGG COMPANY,ケロッグ,NYSE,食品・飲料,○
KB,KB FINANCIAL-ADR,ＫＢフィナンシャル・グループ,NYSE,金融（銀行）,○
KBH,KB HOME,ＫＢホーム,NYSE,その他,○
KBR,KBR INC,KBR,NYSE,その他製造,○
KEP,KOREA ELECTRIC POWER CORPORATION,コリア・エレクトリック・パワー,NYSE,電機・電力・エネルギー,○
KEYS,KEYSIGHT TECHNOLOGIES INC,キイサイト・テクノロジー,NYSE,その他製造,○
KEYW,THE KEYW HOLDING　CORPORATION,KEYWホールディング,NASDAQ,ネットワーク・ネットワークセキュリティ,○
KGC,KINROSS GOLD CORPORATION,キンロス・ゴールド,NYSE,鉄鋼・鉱業,○
KHC,THE KRAFT HEINZ COMPANY,クラフト・ハインツ,NASDAQ,食品・飲料,○
KLAC,KLA-TENCOR CORPORATION,ケーエルエー・テンコール,NASDAQ,半導体関連,○
KLXI,KLX INC,KLX,NASDAQ,航空,○
KMB,KIMBERLY-CLARK CORPORATION,キンバリークラーク,NYSE,トイレタリー・ヘルスケア,○
KMI,KINDER MORGAN INC,キンダーモルガン,NYSE,石油・ガス・パイプライン,○
KMX,"CARMAX, INC.",カーマックス,NYSE,小売,○
KN,KNOWLES CORP,クノールズ,NYSE,通信関連,○
KNOW,DIREXION ALL CAP INSIDER SENTIMENT SHARES,Direxion インサイダー・センチメント ETF,NYSE Arca,その他,○
KNX,KNIGHT SWIFT TRANSPORTATION,ナイト・スウィフト・トランスポテーション,NYSE,運輸,○
KO,THE COCA-COLA COMPANY,コカ・コーラ,NYSE,食品・飲料,○
KOL,VanEck Vectors Coal ETF,ヴァンエック・ベクトル・石炭株 ETF,NYSE Arca,その他,○
KOPN,KOPIN CORPORATION,コピン,NASDAQ,半導体関連,○
KORS,MICHAEL KORS HOLDINGS LTD,マイケル　コース,NYSE,小売,○
KOS,Kosmos Energy Ltd,コスモス・エナジー,NYSE,石油・ガス・パイプライン,○
KR,KROGER CO,クローガー,NYSE,小売,○
KSS,KOHL'S CORPORATION,コールズ,NYSE,小売,○
KSU,KANSAS CITY SOUTHERN,カンザスシティー・サザン,NYSE,運輸,○
KT,KT CORPORATION,ＫＴ,NYSE,通信関連,○
KXI,iShares Global Consumer Staples ETF,iシェアーズ グローバル生活必需品 ETF,NYSE Arca,その他,○
L,LOEWS CORPORATION,ロウズ,NYSE,金融（保険）,○
LABD,DIREXION DAILY S&P BIOTECH BEAR 3X SHARES,Direxion デイリー S&P バイオテック株 ベア3倍 ETF,NYSE Arca,その他,○
LABU,DIREXION DAILY S&P BIOTECH BULL 3X SHARES,Direxion デイリー S&P バイオテック株 ブル3倍 ETF,NYSE Arca,その他,○
LAUR,"LAUREATE EDUCATION, INC.",ロレッテ・エデュケーション,NASDAQ,ソフトウェア・ソフトウェアサービス,○
LB,"L BRANDS, INC.",Lブランズ,NYSE,小売,○
LBTYA,LIBERTY GLOBAL PLC CLASS A,リバティ ・グローバル　クラスA,NASDAQ,通信関連,○
LC,LENDINGCLUB CORP,レンディングクラブ,NYSE,金融（その他）,○
LDOS,"LEIDOS HOLDINGS, INC.",レイドス・ホールディングス,NYSE,情報処理サービス,○
LE,LANDS' END INC,ランズ　エンド,NASDAQ,小売,○
LEA,LEAR CORPORATION,リア,NYSE,その他製造,○
LECO,LINCOLN ELECTRIC HOLDINGS,リンカーン・エレクトリック・ホールディングズ,NASDAQ,その他製造,○
LEG,LEGGETT & PLATT INC,レゲットアンドプラット,NYSE,その他製造,○
LEMB,i Shares J.P. Morgan EM Local Currency Bond ETF,iシェアーズ J.P.モルガン・現地通貨建てエマージング・マーケット債券 ETF,NYSE Arca,その他,○
LEN,LENNAR CORP-A,レナー,NYSE,その他,○
LFC,CHINA LIFE-ADR,中国人寿保険　［チャイナ・ライフ・インシュアランス］,NYSE,金融（保険）,○
LFGR,LEAF GROUP LTD,リーフ・グループ,NYSE,エンターテイメント・メディア,○
LH,LABORATORY  CRP OF AMERICA HLDG,ラボラトリー・コープ・オブ・アメリカ・ホールディングス,NYSE,医療・医療サービス,○
LILA,LIBERTY LATIN AMERICA LTC,リバティ・ラテン・アメリカ,NASDAQ,通信関連,○
LITE,LUMENTUM HOLDINGS INC,ルメンタム・ホールディングス,NASDAQ,その他製造,○
LIVN,LIVANOVA PLC,リワノワ,NASDAQ,医療機器,○
LKQ,LKQ CORP,ＬＫＱ,NASDAQ,金融（保険）,○
LLL,L-3 COMM HLDGS,Ｌ３コミュニケーションズ・ホールディングズ,NYSE,航空機・宇宙,○
LLY,ELI LILLY AND COMPANY,イーライリリー,NYSE,医薬品,○
LMNX,Luminex Corporation ,ルミネックス,NASDAQ,医療機器,○
LMT,LOCKHEED MARTIN CORPORATION,ロッキード・マーチン,NYSE,航空機・宇宙,○
LN,LINE CORPORATION,LINE,NYSE,通信関連,○
LNC,LINCOLN NATIONAL CORPORATION,リンカーン・ナショナル,NYSE,金融（保険）,○
LNT,ALLIANT ENERGY CORP,アライアント・エナジー,NYSE,電機・電力・エネルギー,○
LOGM,Logmeln Inc,ログミーイン,NASDAQ,ネットワーク・ネットワークセキュリティ,○
LOW,LOWE'S COS INC,ロウズ・カンパニーズ,NYSE,小売,○
LPL,LG DISPLAY-ADR,ＬＧディスプレイ,NYSE,その他製造,○
LPLA,LPL FINANCIAL HOLDINGS INC,ＬＰＬインベストメント・ホールディングス,NASDAQ,ソフトウェア・ソフトウェアサービス,○
LQD, iShares iBoxx $ Investment Grade Corporate Bond ETF,iシェアーズ iBoxx 米ドル建て投資適格社債 ETF,NYSE Arca,その他,○
LQDT,LIQUIDITY SERVICES INC,リクイディティ・サービシズ,NASDAQ,サービス,○
LRCX,LAM RESEARCH CORPORATION,ラムリサーチ,NASDAQ,半導体関連,○
LSCC,LATTICE SEMICONDUCTOR CORPORATION,ラティス・セミコンダクター,NASDAQ,半導体関連,○
LSTR,LANDSTAR SYSTEM INC,ランドスター・システム,NASDAQ,運輸,○
LULU,LULULEMON ATHLETICA INC,ルルレモン・アスレティカ,NASDAQ,小売,○
LUV,SOUTHWEST AIRLINES CO.,サウスウエスト・エアライン,NYSE,航空,○
LVS,LAS VEGAS SANDS CORP.,ラスベガス・サンズ,NYSE,ホテル・モーテル,○
LW,LAMB WESTON HOLDINGS,ラム・ウェストン・ホールディングス,NYSE,食品・飲料,○
LXRX,"LEXICON PHARMACEUTICALS, INC.",レキシコン・ファーマシューティカルズ,NASDAQ,バイオ,○
LYG,LLOYDS BANKING GROUP PLC,ロイズ・バンキング・グループ,NYSE,金融（銀行）,○
LYV,LIVE NATION ENTERTAINMENT,ライブ・ネーション・エンターテインメント,NYSE,エンターテイメント・メディア,○
M,MACY'S INC,メーシーズ,NYSE,小売,○
MA,MASTERCARD INCORPORATED,マスターカード,NYSE,金融（カード）,○
MAGS,MAGAL SECURITY SYSTEMS,マガール・セキュリティ・システムズ,NASDAQ,ネットワーク・ネットワークセキュリティ,○
MANU,MANCHESTER UNITED LTD,マンチェスター・ユナイテッド,NYSE,エンターテイメント・メディア,○
MAR,"MARRIOTT INTERNATIONAL, INC.",マリオット・インターナショナル,NASDAQ,ホテル・モーテル,○
MAS,MASCO CORP,マスコ・コーポレーション,NYSE,サービス,○
MAT,"MATTEL, INC.",マテル,NASDAQ,エンターテイメント・メディア,○
MATX,MATSON INC,マットソン,NYSE,インターネットサービス,○
MBB,iShares BARCLAYS MBS BOND FUND,iシェアーズ 米国 MBS ETF,NASDAQ,その他,○
MBFI,MB FINANCIAL INC,ＭＢファイナンシャル,NASDAQ,金融（銀行）,○
MBT,MOBILE TELESYSTEMS OJSC,モバイル・テレシステムズ,NYSE,通信関連,○
MCD,MCDONALD'S CORPORATION,マクドナルド,NYSE,外食・レストラン,○
MCHP,MICROCHIP TECHNOLOGY INC,マイクロチップ・テクノロジー,NASDAQ,半導体関連,○
MCK,MCKESSON CORP,マケッソン,NYSE,トイレタリー・ヘルスケア,○
MCO,MOODY'S CORPORATION,ムーディーズ,NYSE,金融（その他）,○
MDC,MDC HOLDINGS INC,ＭＤＣホールディングズ,NYSE,その他製造,○
MDCO,MEDICINES COMPANY,メディシンズ・カンパニー,NASDAQ,医療機器,○
MDLZ,MONDELEZ INTERNATIONAL INC,モンデリーズ・インターナショナル,NASDAQ,食品・飲料,○
MDP,MEREDITH CORP,メレディス,NYSE,コンピュータ関連,○
MDR,"MCDERMOTT INTERNATIONAL, INC.",マグダーモット・インターナショナル,NYSE,石油・ガス・パイプライン,○
MDT,MEDTRONIC PLC,メドトロニック,NYSE,医療機器,○
MELI,MERCADOLIBRE INC,メルカドリブレ,NASDAQ,小売,○
MET,METLIFE INC,メットライフ,NYSE,金融（保険）,○
MFC,MANULIFE FIN,マニュライフ・ファイナンシャル,NYSE,金融（保険）,○
MFGP,MICRO FOCUS INTERNATIONAL,マイクロ・フォーカス・インターナショナル,NYSE,情報処理サービス,○
MGC,VANGUARD MEGA CAP ETF,バンガード・米国メガキャップETF,NYSE Arca,その他,○
MGK,VANGUARD MEGA CAP GROWTH ETF,バンガード・米国メガキャップ・グロースETF,NYSE Arca,その他,○
MGM,MGM RESORTS INTE,ＭＧＭリゾート・インタナショナル,NYSE,ホテル・モーテル,○
MGV,VANGUARD MEGA CAP VALUE ETF,バンガード・米国メガキャップ・バリューETF,NYSE Arca,その他,○
MHK,MOHAWK INDUSTRIES INC,モホーク・インダストリーズ,NYSE,その他製造,○
MINI,"MOBILE MINI, INC",モバイル・ミニ,NASDAQ,サービス,○
MKC,MCCORMICK & CO-NON VTG SHRS,マコーミック,NYSE,食品・飲料,○
MKL,MARKEL CORPORATION,マーケル,NYSE,金融（保険）,○
MKSI,MKS INSTRUMENTS INC,ＭＫＳインスツルメンツ,NASDAQ,その他製造,○
MLCO,MELCO RESORTS & ENTERTAIMENT LTD,メルコ・リゾーツ・エンターテイメント,NASDAQ,ホテル・モーテル,○
MLM,MARTIN MARIETTA MATERIALS INC,マーチン・マリエッタ・マテリアルズ,NYSE,その他製造,○
MLNX,MELLANOX TECHNOLOGIES LTD,メラノックス・テクノロジーズ,NASDAQ,その他製造,○
MMC,"MARSH & MCLENNAN COMPANIES, INC.",マーシュ　アンド　マクレナン,NYSE,金融（保険）,○
MMM,3M COMPANY,スリーエム,NYSE,その他製造,○
MMYT,MAKEMYTRIP LIMITED,メイクマイトリップ,NASDAQ,ソフトウェア・ソフトウェアサービス,○
MNK,MALLINCKRODT PLC,マリンクロット,NYSE,医薬品,○
MNKD,MANNKIND CORPORATION,マンカインド,NASDAQ,医薬品（バイオテクノロジー）,○
MNST,MONSTER BEVERAGE CORP,モンスタービバレッジ,NASDAQ,食品・飲料,○
MO,"ALTRIA GROUP, INC.",アルトリア・グループ,NYSE,食品・飲料,○
MOAT,VanEck Vectors Morningstar Wide Moat ETF,ヴァンエック・ベクトル・モーニングスター・ワイド・モートETF,NYSE Arca,その他,○
MOH,"MOLINA HEALTHCARE, INC.",モリナ・ヘルスケア,NYSE,トイレタリー・ヘルスケア,○
MOMO,MOMO INC,モモ,NASDAQ,ソフトウェア・ソフトウェアサービス,○
MOO,VanEck Vectors Agribusiness ETF,ヴァンエック・ベクトル・アグリビジネスETF,NYSE Arca,その他,○
MOS,MOSAIC CO/THE,モザイク,NYSE,化学,○
MPC,MARATHON PETROLEUM,マラソン・ペトロリアム,NYSE,石油・ガス・パイプライン,○
MRAM,EVERSPIN TECHNOLOGIES INC,エバースピン・テクノロジー,NASDAQ,コンピュータ関連,○
MRK,"MERCK & CO., INC.",メルク,NYSE,医薬品,○
MRO,MARATHON OIL,マラソン・オイル,NYSE,石油・ガス・パイプライン,○
MRVL,MARVELL TECHNOLOGY GROUP LTD.,マーベル・テクノロジー・グループ,NASDAQ,半導体関連,○
MS,MORGAN STANLEY,モルガン・スタンレー,NYSE,金融（証券）,○
MS,MORGAN STANLEY,モルガン・スタンレー,NYSE,金融（証券）,○
MSCI,MSCI INC,ＭＳＣＩ,NYSE,金融（その他）,○
MSFT,MICROSOFT CORPORATION,マイクロソフト,NASDAQ,ソフトウェア・ソフトウェアサービス,○
MSG,MADISON SQUARE GARDEN CO-A,マディソン・スクエア・ガーデン,NYSE,エンターテイメント・メディア,○
MSGN,MSG NETWORK INC.,MSGネットワーク,NYSE,エンターテイメント・メディア,○
MSI,MOTROLA SOLUTIONS,モトローラ　ソリューションズ,NYSE,通信関連,○
MT,ARCELORMITTAL,アルセロール・ミタル,NYSE,鉄鋼・鉱業,○
MTB,M&T BANK CORPORATION,Ｍ＆Ｔバンク,NYSE,金融（銀行）,○
MTCH,"MATCH GROUP, INC.",マッチ・グループ,NASDAQ,インターネットサービス,○
MTD,"METTLER-TOLEDO INTERNATIONAL, INC",メトラー・トレド・インターナショナル,NYSE,その他製造,○
MTEX,"MANNATECH, INCORPORATED",マナテック,NASDAQ,医薬品,○
MTH,MERITAGE HOMES CORP,メリテージ・ホームズ,NYSE,その他製造,○
MTL,MECHEL OAO,メシェル,NYSE,鉄鋼・鉱業,○
MTN,VAIL RESORTS INC,ベイル・リゾーツ,NYSE,サービス,○
MTSI,MACOM Technology Solutions Holdings Inc,メイコム・テクノロジー・ソリューションズ・ホールディングス,NASDAQ,半導体関連,○
MU,"MICRON TECHNOLOGY, INC.",マイクロン　テクノロジー,NASDAQ,半導体関連,○
MXI,iShares Global Materials ETF,iシェアーズ グローバル素材 ETF,NYSE Arca,その他,○
MXIM,MAXIM INTEGRATED,マキシム・インテグレーテッド・プロダクツ,NASDAQ,半導体関連,○
